iter	Passed	Remaining
698	1498	645
699	1501	643
700	1503	641
701	1505	638
702	1506	636
703	1508	634
704	1510	632
705	1512	629
706	1514	627
707	1516	625
708	1518	623
709	1519	620
710	1521	618
711	1523	616
712	1525	613
713	1526	611
714	1528	609
715	1530	607
716	1532	604
717	1534	602
718	1536	600
719	1538	598
720	1540	596
721	1541	593
722	1543	591
723	1545	589
724	1547	586
725	1549	584
726	1551	582
727	1553	580
728	1555	578
729	1556	575
730	1558	573
731	1560	571
732	1562	569
733	1564	566
734	1566	564
735	1568	562
736	1570	560
737	1571	558
738	1573	555
739	1575	553
740	1577	551
741	1578	548
742	1580	546
743	1582	544
744	1584	542
745	1586	540
746	1588	537
747	1590	535
748	1591	533
749	1593	531
750	1595	528
751	1597	526
752	1598	524
753	1600	522
754	1602	520
755	1604	517
756	1606	515
757	1607	513
758	1609	511
759	1611	508
760	1613	506
761	1615	504
762	1617	502
763	1619	500
764	1621	497
765	1622	495
766	1624	493
767	1626	491
768	1628	489
769	1631	487
770	1633	485
771	1634	482
772	1636	480
773	1638	478
774	1640	476
775	1641	473
776	1643	471
777	1645	469
778	1647	467
779	1649	465
780	1650	462
781	1652	460
782	1654	458
783	1656	456
784	1657	454
785	1659	451
786	1661	449
787	1662	447
788	1664	445
789	1666	442
790	1668	440
791	1669	438
792	1671	436
793	1673	434
794	1674	431
795	1676	429
796	1678	427
797	1679	425
798	1681	423
799	1683	420
800	1685	418
801	1687	416
802	1688	414
803	1690	412
804	1692	409
805	1694	407
806	1695	405
807	1697	403
808	1699	401
809	1701	399
810	1702	396
811	1704	394
812	1706	392
813	1708	390
814	1710	388
815	1712	386
816	1715	384
817	1717	382
818	1719	379
819	1721	377
820	1723	375
821	1725	373
822	1727	371
823	1729	369
824	1731	367
825	1735	365
826	1737	363
827	1739	361
828	1741	359
829	1743	357
830	1745	354
831	1748	352
832	1750	350
833	1752	348
834	1754	346
835	1756	344
836	1757	342
837	1759	340
838	1761	338
839	1764	336
840	1766	333
841	1768	331
842	1770	329
843	1772	327
844	1774	325
845	1775	323
846	1777	321
847	1779	319
848	1782	316
849	1784	314
850	1786	312
851	1788	310
852	1789	308
853	1791	306
854	1793	304
855	1795	302
856	1797	299
857	1799	297
858	1801	295
859	1803	293
860	1805	291
861	1806	289
862	1808	287
863	1810	284
864	1812	282
865	1814	280
866	1816	278
867	1818	276
868	1820	274
869	1822	272
870	1824	270
871	1825	268
872	1828	265
873	1830	263
874	1833	261
875	1835	259
876	1836	257
877	1838	255
878	1840	253
879	1842	251
880	1844	249
881	1846	246
882	1848	244
883	1850	242
884	1852	240
885	1854	238
886	1855	236
887	1857	234
888	1859	232
889	1861	230
890	1863	227
891	1865	225
892	1866	223
893	1868	221
894	1870	219
895	1873	217
896	1879	215
897	1881	213
898	1883	211
899	1885	209
900	1887	207
901	1888	205
902	1890	203
903	1892	200
904	1894	198
905	1896	196
906	1898	194
907	1900	192
908	1902	190
909	1904	188
910	1906	186
911	1908	184
912	1910	182
913	1912	179
914	1914	177
915	1916	175
916	1918	173
917	1920	171
918	1923	169
919	1925	167
920	1928	165
921	1930	163
922	1932	161
923	1934	159
924	1936	157
925	1938	154
926	1940	152
927	1943	150
928	1945	148
929	1947	146
930	1949	144
931	1951	142
932	1952	140
933	1955	138
934	1957	136
935	1959	133
936	1961	131
937	1962	129
938	1965	127
939	1967	125
940	1969	123
941	1970	121
942	1972	119
943	1974	117
944	1976	115
945	1979	112
946	1981	110
947	1982	108
948	1984	106
949	1986	104
950	1987	102
951	1989	100
952	1991	98
953	1992	96
954	1994	94
955	1997	91
956	1999	89
957	2001	87
958	2002	85
959	2004	83
960	2006	81
961	2008	79
962	2010	77
963	2012	75
964	2014	73
965	2015	70
966	2017	68
967	2018	66
968	2020	64
969	2022	62
970	2024	60
971	2025	58
972	2027	56
973	2029	54
974	2031	52
975	2032	49
976	2034	47
977	2036	45
978	2038	43
979	2040	41
980	2041	39
981	2043	37
982	2045	35
983	2047	33
984	2048	31
985	2050	29
986	2052	27
987	2054	24
988	2056	22
989	2058	20
990	2060	18
991	2062	16
992	2063	14
993	2065	12
994	2067	10
995	2069	8
996	2071	6
997	2073	4
998	2075	2
999	2078	0
